Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXW,GC7Y_7110,L4-05,VO10X0.5(B)-FALP,With Slit,160,100,3
3,02KXU,GC7Y_7110,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,3
3,02KXX,GC7Y_7110,L1-18,VO12X0.5(B)-FALP,With Slit,65,100,3
3,02KXU,GC7Y_7110,J4-10,VO6X0.5(B)-FALP,,280,100,3
3,02KXX,GC7Y_7110,L2-19,VO12X0.5(B)-FALP,With Slit,115,100,3
3,02KXY,GC7Y_7110,M5-16,VO14X0.5(B)-FALP,With Slit,115,100,3
3,02KXV,GC7Y_7110,K1-08,VO8X0.5(B)-FALP,,135,100,3
3,02KXU,GC7Y_7110,J5-30,VO6X0.5(B)-FALP,,140,100,3
3,02KXV,GC7Y_7110,K3-23,VO8X0.5(B)-FALP,With Slit,130,100,3
3,02KXV,GC7Y_7110,K3-24,VO8X0.5(B)-FALP,With Slit,135,100,3
3,02KXU,GC7Y_7110,J3-35,VO6X0.5(B)-FALP,With Slit,135,100,3
3,02KY1,GC7Y_7110,M1-14,VO18X0.6(B)-FALP,With Slit,165,100,3
3,02KXW,GC7Y_7110,L4-07,VO10X0.5(B)-FALP,With Slit,165,100,3
3,02KXU,GC7Y_7110,J5-44,VO6X0.5(B)-FALP,,210,100,3
3,02KY1,GC7Y_7110,M1-25,VO18X0.6(B)-FALP,With Slit,180,100,3
3,01MNP,GC7Y_7113,H1-13,NCOT7-FALP,,90,100,3
3,01MNP,GC7Y_7113,H1-15,NCOT7-FALP,,95,100,3
3,01MNP,GC7Y_7113,H1-37,NCOT7-FALP,,280,100,3
3,01MNP,GC7Y_7113,I1-20,NCOT7-FALP,,200,100,3
3,01MNP,GC7Y_7113,H1-13,NCOT7-FALP,,90,100,3
3,01MNP,GC7Y_7113,H5-24,NCOT7-FALP,,35,100,3
3,01MNP,GC7Y_7113,H5-23,NCOT7-FALP,,30,100,3
3,01MNP,GC7Y_7113,H1-16,NCOT7-FALP,,125,100,3
3,01MNP,GC7Y_7113,H1-27,NCOT7-FALP,,170,100,3
3,7291,GC7Y_7114,G4-32,VO8X0.5(B),With Slit,580,100,3
3,7291,GC7Y_7114,Special Kanban,VO8X0.5(B),With Slit,495,50,3
3,7291,GC7Y_7114,G4-34,VO8X0.5(B),With Slit,240,100,3
3,7291,GC7Y_7114,G4-31,VO8X0.5(B),,225,100,3
3,7291,GC7Y_7114,G4-30,VO8X0.5(B),,130,100,3
3,7291,GC7Y_7114,G5-36,VO8X0.5(B),,150,100,3
3,7291,GC7Y_7114,G4-31,VO8X0.5(B),,225,100,3
3,01MNP,GC7Y_7114,H5-22,NCOT7-FALP,,385,100,3
3,17161,GC7Y_7114,G6-51,VO6X0.5(B),,175,100,3
3,17161,GC7Y_7114,G6-51,VO6X0.5(B),,175,100,3
3,17161,GC7Y_7114,G6-51,VO6X0.5(B),,175,100,3
3,01MNP,GC7Y_7114,H5-22,NCOT7-FALP,,385,100,3
3,17161,GC7Y_7114,G6-52,VO6X0.5(B),With Slit,1520,100,3
3,01MNP,GC7Y_7114,H1-20,NCOT7-FALP,,120,100,3
3,01MNP,GC7Y_7114,H1-20,NCOT7-FALP,,120,100,3
3,01MNP,GC7Y_7114,H1-20,NCOT7-FALP,,120,100,3
3,01MNP,GC7Y_7114,H1-20,NCOT7-FALP,,120,100,3
3,02KXV,GC7Y_7116,K3-26,VO8X0.5(B)-FALP,With Slit,145,100,3
3,02KXW,GC7Y_7116,L4-21,VO10X0.5(B)-FALP,With Slit,245,100,3
3,02KXY,GC7Y_7116,M4-23,VO14X0.5(B)-FALP,With Slit,490,100,3
3,02KXY,GC7Y_7116,M4-22,VO14X0.5(B)-FALP,With Slit,480,100,3
3,02KXV,GC7Y_7116,K3-08,VO8X0.5(B)-FALP,With Slit,50,100,3
3,02KXV,GC7Y_7116,K3-41,VO8X0.5(B)-FALP,With Slit,245,100,3
3,02KXW,GC7Y_7116,L6-08,VO10X0.5(B)-FALP,With Slit,490,100,3
3,02KXW,GC7Y_7116,L4-29,VO10X0.5(B)-FALP,With Slit,480,100,3
3,02KXV,GC7Y_7116,K4-25,VO8X0.5(B)-FALP,With Slit,105,100,3
3,02KXW,GC7Y_7116,L4-15,VO10X0.5(B)-FALP,With Slit,200,100,3
3,02KXV,GC7Y_7116,K3-08,VO8X0.5(B)-FALP,With Slit,50,100,3
3,02KXV,GC7Y_7116,K3-26,VO8X0.5(B)-FALP,With Slit,145,100,3
3,02KXV,GC7Y_7116,K3-41,VO8X0.5(B)-FALP,With Slit,245,100,3
3,02KXW,GC7Y_7116,L4-21,VO10X0.5(B)-FALP,With Slit,245,100,3
3,02KXV,GC7Y_7116,K4-25,VO8X0.5(B)-FALP,With Slit,105,100,3
3,02KXW,GC7Y_7116,L6-08,VO10X0.5(B)-FALP,With Slit,490,100,3
3,02KXY,GC7Y_7116,M4-23,VO14X0.5(B)-FALP,With Slit,490,100,3
3,02KXW,GC7Y_7116,L4-15,VO10X0.5(B)-FALP,With Slit,200,100,3
3,02KXW,GC7Y_7116,L4-29,VO10X0.5(B)-FALP,With Slit,480,100,3
3,02KXY,GC7Y_7116,M4-22,VO14X0.5(B)-FALP,With Slit,480,100,3
3,02KXV,GC7Y_7116,K3-21,VO8X0.5(B)-FALP,With Slit,120,100,3
3,02KXW,GC7Y_7116,L5-30,VO10X0.5(B)-FALP,With Slit,125,100,3
3,02KXU,GC7Y_7116,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,3
3,02KXU,GC7Y_7116,J3-33,VO6X0.5(B)-FALP,With Slit,125,100,3
3,02KXV,GC7Y_7116,K3-22,VO8X0.5(B)-FALP,With Slit,125,100,3
3,02KXX,GC7Y_7116,L1-22,VO12X0.5(B)-FALP,With Slit,450,100,3
