Serial No,Kanban Read,Parts Code,Line No,Stock Address,Parts Name,Comment,Length(mm),Quantity,Production Location
SN-a6adc07319ce5b2,TC-VO10X0.5(B)_390_7101_100_07319_G4-21_1_200907100525,7319,7101,G4-21,VO10X0.5(B),WITH SLIT,390,100,
SN-2c11c07319d041c,TC-VO10X0.5(B)_390_7101_100_07319_G4-21_2_200907100525,7319,7101,G4-21,VO10X0.5(B),WITH SLIT,390,100,
SN-65b41073199a349,TC-VO10X0.5(B)_500_7101_50_07319_G4-23_1_200907100525,7319,7101,G4-23,VO10X0.5(B),WITH SLIT,500,50,
SN-8545007319e192d,TC-VO10X0.5(B)_500_7101_50_07319_G4-23_2_200907100525,7319,7101,G4-23,VO10X0.5(B),WITH SLIT,500,50,
SN-e276f07319a12f9,TC-VO10X0.5(B)_120_7101_100_07319_G4-26_1_200907100525,7319,7101,G4-26,VO10X0.5(B),,120,100,
SN-3114e07319681ff,TC-VO10X0.5(B)_120_7101_100_07319_G4-26_2_200907100526,7319,7101,G4-26,VO10X0.5(B),,120,100,
SN-39c2f074101c776,TC-VO12X0.5(B)_125_7101_100_07410_G3-08_1_200907100526,7410,7101,G3-08,VO12X0.5(B),WITH SLIT,125,100,
SN-3a007074107a154,TC-VO12X0.5(B)_125_7101_100_07410_G3-08_2_200907100526,7410,7101,G3-08,VO12X0.5(B),WITH SLIT,125,100,
SN-1bcf3074105beb3,TC-VO12X0.5(B)_330_7101_100_07410_G3-15_1_200907100526,7410,7101,G3-15,VO12X0.5(B),WITH SLIT,330,100,
SN-3a64a074102f79c,TC-VO12X0.5(B)_330_7101_100_07410_G3-15_2_200907100526,7410,7101,G3-15,VO12X0.5(B),WITH SLIT,330,100,
SN-638c307410c4256,TC-VO12X0.5(B)_395_7101_100_07410_G3-18_1_200907100526,7410,7101,G3-18,VO12X0.5(B),WITH SLIT,395,100,
SN-547ad07410d5ce3,TC-VO12X0.5(B)_395_7101_100_07410_G3-18_2_200907100526,7410,7101,G3-18,VO12X0.5(B),WITH SLIT,395,100,
SN-97f1307410e3eba,TC-VO12X0.5(B)_400_7101_100_07410_G3-19_1_200907100526,7410,7101,G3-19,VO12X0.5(B),WITH SLIT,400,100,
SN-eaa61074107eb42,TC-VO12X0.5(B)_400_7101_100_07410_G3-19_2_200907100526,7410,7101,G3-19,VO12X0.5(B),WITH SLIT,400,100,
SN-f9c7d074104f3eb,TC-VO12X0.5(B)_405_7101_100_07410_G3-20_1_200907100526,7410,7101,G3-20,VO12X0.5(B),WITH SLIT,405,100,
SN-d08e5074100f540,TC-VO12X0.5(B)_405_7101_100_07410_G3-20_2_200907100527,7410,7101,G3-20,VO12X0.5(B),WITH SLIT,405,100,
SN-4f783074103e5c2,TC-VO12X0.5(B)_600_7101_50_07410_G3-22_1_200907100527,7410,7101,G3-22,VO12X0.5(B),WITH SLIT,600,50,
SN-04543074102b3ed,TC-VO12X0.5(B)_600_7101_50_07410_G3-22_2_200907100527,7410,7101,G3-22,VO12X0.5(B),WITH SLIT,600,50,
SN-a8c7a0741023ae7,TC-VO12X0.5(B)_660_7101_50_07410_G3-23_1_200907100527,7410,7101,G3-23,VO12X0.5(B),WITH SLIT,660,50,
SN-41ab00741018800,TC-VO12X0.5(B)_660_7101_50_07410_G3-23_2_200907100527,7410,7101,G3-23,VO12X0.5(B),WITH SLIT,660,50,
SN-c7d700745240879,TC-VO14X0.5(B)_155_7101_100_07452_G2-07_1_200907100527,7452,7101,G2-07,VO14X0.5(B),WITH SLIT,155,100,
SN-31394074520da69,TC-VO14X0.5(B)_155_7101_100_07452_G2-07_2_200907100527,7452,7101,G2-07,VO14X0.5(B),WITH SLIT,155,100,
SN-dbb8d07452feb5f,TC-VO14X0.5(B)_210_7101_50_07452_G2-10_1_200907100527,7452,7101,G2-10,VO14X0.5(B),WITH SLIT,210,100,
SN-1cd30074520345b,TC-VO14X0.5(B)_210_7101_50_07452_G2-10_2_200907100527,7452,7101,G2-10,VO14X0.5(B),WITH SLIT,210,100,
SN-9b83e07473cab89,TC-VO16X0.6(B)_85_7101_100_07473_G1-01_1_200907100527,7473,7101,G1-01,VO16X0.6(B),WITH SLIT,85,100,
SN-7fedf07473bdd6a,TC-VO16X0.6(B)_85_7101_100_07473_G1-01_2_200907100527,7473,7101,G1-01,VO16X0.6(B),WITH SLIT,85,100,
SN-117420747337d7c,TC-VO16X0.6(B)_205_7101_50_07473_G1-06_1_200907100527,7473,7101,G1-06,VO16X0.6(B),WITH SLIT,205,100,
SN-71a3207473f8621,TC-VO16X0.6(B)_205_7101_50_07473_G1-06_2_200907100527,7473,7101,G1-06,VO16X0.6(B),WITH SLIT,205,100,
SN-81380074733cb78,TC-VO16X0.6(B)_230_7101_50_07473_G1-07_1_200907100528,7473,7101,G1-07,VO16X0.6(B),WITH SLIT,230,100,
SN-fe34607473d0af2,TC-VO16X0.6(B)_230_7101_50_07473_G1-07_2_200907100528,7473,7101,G1-07,VO16X0.6(B),WITH SLIT,230,100,
SN-310b50747311d95,TC-VO16X0.6(B)_295_7101_50_07473_G1-09_1_200907100528,7473,7101,G1-09,VO16X0.6(B),WITH SLIT,295,50,
SN-5599e07473c8088,TC-VO16X0.6(B)_295_7101_50_07473_G1-09_2_200907100528,7473,7101,G1-09,VO16X0.6(B),WITH SLIT,295,50,
SN-f74ca0747301002,TC-VO16X0.6(B)_365_7101_50_07473_G1-11_1_200907100528,7473,7101,G1-11,VO16X0.6(B),WITH SLIT,365,50,
SN-b3639074736370e,TC-VO16X0.6(B)_365_7101_50_07473_G1-11_2_200907100528,7473,7101,G1-11,VO16X0.6(B),WITH SLIT,365,50,
